GLOBALEVENTID	SQLDATE	MonthYear	Year	FractionDate	Actor1Code	Actor1Name	Actor1CountryCode	Actor1KnownGroupCode	Actor1EthnicCode	Actor1Religion1Code	Actor1Religion2Code	Actor1Type1Code	Actor1Type2Code	Actor1Type3Code	Actor2Code	Actor2Name	Actor2CountryCode	Actor2KnownGroupCode	Actor2EthnicCode	Actor2Religion1Code	Actor2Religion2Code	Actor2Type1Code	Actor2Type2Code	Actor2Type3Code	IsRootEvent	EventCode	EventBaseCode	EventRootCode	QuadClass	GoldsteinScale	NumMentions	NumSources	NumArticles	AvgTone	Actor1Geo_Type	Actor1Geo_FullName	Actor1Geo_CountryCode	Actor1Geo_ADM1Code	Actor1Geo_Lat	Actor1Geo_Long	Actor1Geo_FeatureID	Actor2Geo_Type	Actor2Geo_FullName	Actor2Geo_CountryCode	Actor2Geo_ADM1Code	Actor2Geo_Lat	Actor2Geo_Long	Actor2Geo_FeatureID	ActionGeo_Type	ActionGeo_FullName	ActionGeo_CountryCode	ActionGeo_ADM1Code	ActionGeo_Lat	ActionGeo_Long	ActionGeo_FeatureID	DATEADDED	SOURCEURL
20150101.export.CSV:330219625	20150101	201501	2015	2015.0027	MIL	COMMANDER						MIL			NZL	NEW ZEALAND	NZL								0	013	013	01	1	0.4	3	1	3	1.21580547112462	4	Gisborne, New Zealand (general), New Zealand	NZ	NZ00	-38.6533	178.004	272362	4	Gisborne, New Zealand (general), New Zealand	NZ	NZ00	-38.6533	178.004	272362	4	Gisborne, New Zealand (general), New Zealand	NZ	NZ00	-38.6533	178.004	272362	20150101	http://home.nzcity.co.nz/news/article.aspx?id=199580&cat=980&fm=newsmain,narts
20150101.export.CSV:330219626	20150101	201501	2015	2015.0027	MIL	NAVY						MIL			NZL	WELLINGTON	NZL								1	017	017	01	1	0.0	2	1	2	1.97044334975369	4	Devonport, New Zealand (general), New Zealand	NZ	NZ00	-36.8167	174.8	-1508880	4	Wellington, New Zealand (general), New Zealand	NZ	NZ00	-41.3	174.783	-1521348	4	Devonport, New Zealand (general), New Zealand	NZ	NZ00	-36.8167	174.8	-1508880	20150101	http://www.stuff.co.nz/national/64612765/longserving-new-zealand-navy-laundryman-dies
20150101.export.CSV:330219627	20150101	201501	2015	2015.0027	MIL	NAVY						MIL			NZL	WELLINGTON	NZL								1	017	017	01	1	0.0	6	1	6	1.97044334975369	4	Shanghai, Shanghai, China	CH	CH23	31.2222	121.458	-1924465	4	Devonport, New Zealand (general), New Zealand	NZ	NZ00	-36.8167	174.8	-1508880	4	Shanghai, Shanghai, China	CH	CH23	31.2222	121.458	-1924465	20150101	http://www.stuff.co.nz/national/64612765/longserving-new-zealand-navy-laundryman-dies
20150101.export.CSV:330219628	20150101	201501	2015	2015.0027	MIL	NAVY						MIL			NZL	WELLINGTON	NZL								1	042	042	04	1	1.9	8	1	8	1.97044334975369	4	Devonport, New Zealand (general), New Zealand	NZ	NZ00	-36.8167	174.8	-1508880	4	Wellington, New Zealand (general), New Zealand	NZ	NZ00	-41.3	174.783	-1521348	4	Devonport, New Zealand (general), New Zealand	NZ	NZ00	-36.8167	174.8	-1508880	20150101	http://www.stuff.co.nz/national/64612765/longserving-new-zealand-navy-laundryman-dies
20150101.export.CSV:330219629	20150101	201501	2015	2015.0027	MIL	NAVY						MIL			NZL	WELLINGTON	NZL								1	051	051	05	1	3.4	16	1	16	1.97044334975369	4	Devonport, New Zealand (general), New Zealand	NZ	NZ00	-36.8167	174.8	-1508880	4	Wellington, New Zealand (general), New Zealand	NZ	NZ00	-41.3	174.783	-1521348	4	Devonport, New Zealand (general), New Zealand	NZ	NZ00	-36.8167	174.8	-1508880	20150101	http://www.stuff.co.nz/national/64612765/longserving-new-zealand-navy-laundryman-dies
20150101.export.CSV:330219630	20150101	201501	2015	2015.0027	MIL	NAVY						MIL			NZLMIL	NEW ZEALAND	NZL					MIL			1	017	017	01	1	0.0	8	1	8	1.97044334975369	4	Devonport, New Zealand (general), New Zealand	NZ	NZ00	-36.8167	174.8	-1508880	4	Devonport, New Zealand (general), New Zealand	NZ	NZ00	-36.8167	174.8	-1508880	4	Devonport, New Zealand (general), New Zealand	NZ	NZ00	-36.8167	174.8	-1508880	20150101	http://www.stuff.co.nz/national/64612765/longserving-new-zealand-navy-laundryman-dies
20150101.export.CSV:330219631	20150101	201501	2015	2015.0027	MIL	NAVY						MIL			NZLMIL	NEW ZEALAND	NZL					MIL			1	017	017	01	1	0.0	4	1	4	1.97044334975369	4	Shanghai, Shanghai, China	CH	CH23	31.2222	121.458	-1924465	4	Shanghai, Shanghai, China	CH	CH23	31.2222	121.458	-1924465	4	Shanghai, Shanghai, China	CH	CH23	31.2222	121.458	-1924465	20150101	http://www.stuff.co.nz/national/64612765/longserving-new-zealand-navy-laundryman-dies
20150101.export.CSV:330219632	20150101	201501	2015	2015.0027	MIL	NAVY						MIL			NZLMIL	NEW ZEALAND	NZL					MIL			1	042	042	04	1	1.9	12	1	12	1.97044334975369	4	Devonport, New Zealand (general), New Zealand	NZ	NZ00	-36.8167	174.8	-1508880	4	Devonport, New Zealand (general), New Zealand	NZ	NZ00	-36.8167	174.8	-1508880	4	Devonport, New Zealand (general), New Zealand	NZ	NZ00	-36.8167	174.8	-1508880	20150101	http://www.stuff.co.nz/national/64612765/longserving-new-zealand-navy-laundryman-dies
20150101.export.CSV:330224145	20150101	201501	2015	2015.0027	NZL	WELLINGTON	NZL								MIL	NAVY						MIL			1	043	043	04	1	2.8	8	1	8	1.97044334975369	4	Wellington, New Zealand (general), New Zealand	NZ	NZ00	-41.3	174.783	-1521348	4	Devonport, New Zealand (general), New Zealand	NZ	NZ00	-36.8167	174.8	-1508880	4	Devonport, New Zealand (general), New Zealand	NZ	NZ00	-36.8167	174.8	-1508880	20150101	http://www.stuff.co.nz/national/64612765/longserving-new-zealand-navy-laundryman-dies
20150101.export.CSV:330224189	20150101	201501	2015	2015.0027	NZLMIL	NEW ZEALAND	NZL					MIL			IDN	INDONESIA	IDN								0	060	060	06	2	6.0	4	1	4	2.32294617563739	1	Australia	AS	AS	-27	133	AS	4	Surabaya, Jawa Timur, Indonesia	ID	ID08	-7.24917	112.751	-2698521	4	Surabaya, Jawa Timur, Indonesia	ID	ID08	-7.24917	112.751	-2698521	20150101	http://www.themercury.com.au/news/world/first-airasia-flight-qz-8501-bodies-arrive-at-airport-as-bad-weather-stalls-search/story-fnj3ty5y-1227171476182
20150101.export.CSV:330224190	20150101	201501	2015	2015.0027	NZLMIL	NEW ZEALAND	NZL					MIL			IDN	INDONESIA	IDN								0	060	060	06	2	6.0	1	1	1	2.32294617563739	1	Australia	AS	AS	-27	133	AS	1	Australia	AS	AS	-27	133	AS	1	Australia	AS	AS	-27	133	AS	20150101	http://www.themercury.com.au/news/world/first-airasia-flight-qz-8501-bodies-arrive-at-airport-as-bad-weather-stalls-search/story-fnj3ty5y-1227171476182
20150101.export.CSV:330224191	20150101	201501	2015	2015.0027	NZLMIL	NEW ZEALAND	NZL					MIL			IDN	INDONESIA	IDN								0	154	154	15	4	-7.2	8	1	8	2.32294617563739	1	Australia	AS	AS	-27	133	AS	4	Surabaya, Jawa Timur, Indonesia	ID	ID08	-7.24917	112.751	-2698521	4	Surabaya, Jawa Timur, Indonesia	ID	ID08	-7.24917	112.751	-2698521	20150101	http://www.themercury.com.au/news/world/first-airasia-flight-qz-8501-bodies-arrive-at-airport-as-bad-weather-stalls-search/story-fnj3ty5y-1227171476182
20150101.export.CSV:330224192	20150101	201501	2015	2015.0027	NZLMIL	NEW ZEALAND	NZL					MIL			IDN	INDONESIA	IDN								0	154	154	15	4	-7.2	2	1	2	2.32294617563739	1	Australia	AS	AS	-27	133	AS	1	Australia	AS	AS	-27	133	AS	1	Australia	AS	AS	-27	133	AS	20150101	http://www.themercury.com.au/news/world/first-airasia-flight-qz-8501-bodies-arrive-at-airport-as-bad-weather-stalls-search/story-fnj3ty5y-1227171476182
20150101.export.CSV:330224193	20150101	201501	2015	2015.0027	NZLMIL	NEW ZEALAND	NZL					MIL			MIL	NAVY						MIL			1	012	012	01	1	-0.4	10	1	10	1.97044334975369	4	Shanghai, Shanghai, China	CH	CH23	31.2222	121.458	-1924465	4	Devonport, New Zealand (general), New Zealand	NZ	NZ00	-36.8167	174.8	-1508880	4	Shanghai, Shanghai, China	CH	CH23	31.2222	121.458	-1924465	20150101	http://www.stuff.co.nz/national/64612765/longserving-new-zealand-navy-laundryman-dies
20150101.export.CSV:330224194	20150101	201501	2015	2015.0027	NZLMIL	NEW ZEALAND	NZL					MIL			MIL	NAVY						MIL			1	043	043	04	1	2.8	12	1	12	1.97044334975369	4	Devonport, New Zealand (general), New Zealand	NZ	NZ00	-36.8167	174.8	-1508880	4	Devonport, New Zealand (general), New Zealand	NZ	NZ00	-36.8167	174.8	-1508880	4	Devonport, New Zealand (general), New Zealand	NZ	NZ00	-36.8167	174.8	-1508880	20150101	http://www.stuff.co.nz/national/64612765/longserving-new-zealand-navy-laundryman-dies
20150101.export.CSV:330224195	20150101	201501	2015	2015.0027	NZLMIL	NEW ZEALAND	NZL					MIL			USA	UNITED STATES	USA								0	060	060	06	2	6.0	1	1	1	2.32294617563739	1	Australia	AS	AS	-27	133	AS	4	Surabaya, Jawa Timur, Indonesia	ID	ID08	-7.24917	112.751	-2698521	1	Australia	AS	AS	-27	133	AS	20150101	http://www.themercury.com.au/news/world/first-airasia-flight-qz-8501-bodies-arrive-at-airport-as-bad-weather-stalls-search/story-fnj3ty5y-1227171476182
